ticker,earnings_date,beat,event_id
AAPL,1/29/2026,1,AAPL_2026Q1
AAPL,10/29/2025,0,AAPL_2025Q4
,,,
MSFT,1/28/2026,1,MSFT_2026Q2
MSFT,9/30/2025,1,MSFT_2026Q1
,,,
GOOG ,10/29/2025,1,GOOG_2025Q3
GOOG ,7/23/2025,1,GOOG_2025Q2
,,,
GOOGL,10/29/2025,1,GOOGL_2025Q3
GOOGL,7/23/2025,1,GOOGL_2025Q2
,,,
AMZN,10/30/2025,1,AMZN_2025Q3
AMZN,7/31/2025,1,AMZN_2025Q2
,,,
META,1/29/2026,1,META_2025Q4
META,10/29/2025,0,META_2025Q3
,,,
NVDA,11/19/2025,1,NVDA_2026Q3
NVDA,8/27/2025,1,NVDA_2026Q2
,,,
TSLA,1/28/2026,1,TSLA_2025Q4
TSLA,10/22/2025,0,TSLA_2025Q3
,,,
AVGO,11/2/2025,0,AVGO_2025Q3
AVGO,6/5/2025,0,AVGO_2025Q2
,,,
BRK.B,11/1/2025,0,BRK.B_2025Q3
BRK.B,8/2/2025,0,BRK.B_2025Q2
